station_id,station_name,year,season,date,peak_swe_in,seasonal_precip_accum_in,seasonal_precip_increment_in,snotel_temp_avg_f,snotel_temp_max_f,snotel_temp_min_f,seasonal_precip_in,seasonal_temp_avg_f,seasonal_temp_min_f,seasonal_temp_max_f,seasonal_freeze_days
327,Beartown,2000,1,2000-01-01,5.8,5.2,3.0,17.748387096774195,47.7,-10.8,302.569,-6.735333333333333,-13.714,0.649,3
327,Beartown,2000,1,2000-02-01,13.0,11.0,6.1,20.2551724137931,51.1,-5.4,302.569,-6.735333333333333,-13.714,0.649,3
327,Beartown,2000,1,2000-12-01,11.0,13.2,3.0,17.970967741935485,54.9,-7.4,302.569,-6.735333333333333,-13.714,0.649,3
327,Beartown,2000,2,2000-03-01,20.6,19.0,8.5,21.506451612903227,56.1,-2.6,293.185,-0.4895,-13.129,10.402,3
327,Beartown,2000,2,2000-04-01,23.3,21.6,1.8,32.28,57.9,4.3,293.185,-0.4895,-13.129,10.402,3
327,Beartown,2000,2,2000-05-01,16.6,23.1,1.5,40.33548387096774,66.6,9.5,293.185,-0.4895,-13.129,10.402,3
327,Beartown,2000,3,2000-06-01,0.0,24.2,1.1,47.43333333333333,69.6,30.4,147.373,9.820666666666666,1.662,17.893,3
327,Beartown,2000,3,2000-07-01,0.0,25.1,0.9,50.666666666666664,72.0,34.9,147.373,9.820666666666666,1.662,17.893,3
327,Beartown,2000,3,2000-08-01,0.0,28.9,3.8,48.46451612903226,72.1,33.1,147.373,9.820666666666666,1.662,17.893,3
327,Beartown,2000,4,2000-09-01,0.1,32.8,3.9,43.169999999999995,70.3,14.2,346.928,-0.1808333333333334,-16.312,13.282,3
327,Beartown,2000,4,2000-10-01,5.0,6.9,7.3,31.470967741935485,61.2,5.7,346.928,-0.1808333333333334,-16.312,13.282,3
327,Beartown,2000,4,2000-11-01,8.4,10.2,2.9,15.45,48.0,-13.0,346.928,-0.1808333333333334,-16.312,13.282,3
327,Beartown,2001,1,2001-01-01,15.2,17.9,4.7,13.503333333333334,52.7,-10.8,300.838,-8.129833333333334,-16.72,-0.002,3
327,Beartown,2001,1,2001-02-01,22.0,22.8,5.0,17.72142857142857,51.8,-9.0,300.838,-8.129833333333334,-16.72,-0.002,3
327,Beartown,2001,1,2001-12-01,5.6,7.2,2.5,14.829032258064515,47.5,-8.5,300.838,-8.129833333333334,-16.72,-0.002,3
327,Beartown,2001,2,2001-03-01,27.1,26.0,3.3,22.470967741935485,55.8,-6.9,283.818,-0.2140000000000001,-13.145,11.895,3
327,Beartown,2001,2,2001-04-01,32.9,31.7,5.5,30.153333333333332,62.1,0.7,283.818,-0.2140000000000001,-13.145,11.895,3
327,Beartown,2001,2,2001-05-01,31.7,33.6,1.9000000000000001,39.541935483870965,66.0,11.3,283.818,-0.2140000000000001,-13.145,11.895,3
327,Beartown,2001,3,2001-06-01,1.8,34.8,1.3,46.95333333333333,70.0,14.7,235.881,9.208666666666668,0.812,17.448,3
327,Beartown,2001,3,2001-07-01,0.0,38.3,4.3,49.567741935483866,73.8,34.0,235.881,9.208666666666668,0.812,17.448,3
327,Beartown,2001,3,2001-08-01,0.0,43.6,4.4,46.54838709677419,71.2,27.5,235.881,9.208666666666668,0.812,17.448,3
327,Beartown,2001,4,2001-09-01,0.5,44.5,0.9,43.62,67.3,19.8,147.958,2.1556666666666664,-10.252,14.944,3
327,Beartown,2001,4,2001-10-01,0.3,1.6,1.9,34.68709677419355,61.2,9.5,147.958,2.1556666666666664,-10.252,14.944,3
327,Beartown,2001,4,2001-11-01,2.7,4.5,2.8,23.863333333333333,52.9,-11.4,147.958,2.1556666666666664,-10.252,14.944,3
327,Beartown,2002,1,2002-01-01,6.7,8.3,1.1,15.970967741935484,56.5,-14.4,134.059,-8.986666666666666,-17.416,-0.627,3
327,Beartown,2002,1,2002-02-01,9.0,10.2,2.1,16.589285714285715,53.1,-11.9,134.059,-8.986666666666666,-17.416,-0.627,3
327,Beartown,2002,1,2002-12-01,6.9,10.2,2.1999999999999997,16.5,46.0,-7.6,134.059,-8.986666666666666,-17.416,-0.627,3
327,Beartown,2002,2,2002-03-01,12.5,13.5,3.1,19.983870967741936,57.0,-8.7,132.435,-1.2563333333333335,-14.867,9.699,3
327,Beartown,2002,2,2002-04-01,9.8,15.2,1.7,32.39666666666667,56.8,7.0,132.435,-1.2563333333333335,-14.867,9.699,3
327,Beartown,2002,2,2002-05-01,1.6,15.9,0.7000000000000001,37.961290322580645,71.2,14.7,132.435,-1.2563333333333335,-14.867,9.699,3
327,Beartown,2002,3,2002-06-01,0.0,15.9,0.0,50.343333333333334,74.8,24.4,105.1,10.509666666666666,2.001,19.792,3
327,Beartown,2002,3,2002-07-01,0.0,18.4,2.5,51.274193548387096,77.4,34.9,105.1,10.509666666666666,2.001,19.792,3
327,Beartown,2002,3,2002-08-01,0.0,20.2,1.8,49.17741935483871,75.7,30.2,105.1,10.509666666666666,2.001,19.792,3
327,Beartown,2002,4,2002-09-01,0.4,25.8,5.6,41.24,67.8,21.0,349.474,0.5936666666666666,-12.175,12.513,3
327,Beartown,2002,4,2002-10-01,2.3,5.0,5.0,30.01290322580645,57.2,7.0,349.474,0.5936666666666666,-12.175,12.513,3
327,Beartown,2002,4,2002-11-01,4.4,7.7,3.0,22.496666666666666,56.3,-2.6,349.474,0.5936666666666666,-12.175,12.513,3
327,Beartown,2003,1,2003-01-01,8.9,11.5,1.3,22.708000000000002,54.1,3.0,245.806,-6.699333333333333,-16.365,1.413,3
327,Beartown,2003,1,2003-02-01,13.3,15.7,4.4,14.596428571428572,47.1,-15.3,245.806,-6.699333333333333,-16.365,1.413,3
327,Beartown,2003,1,2003-12-01,11.2,12.5,4.1,17.616129032258065,55.2,-17.0,245.806,-6.699333333333333,-16.365,1.413,3
327,Beartown,2003,2,2003-03-01,15.7,18.3,2.6,21.751612903225805,56.3,-8.7,205.451,-1.2678333333333331,-14.029,10.028,3
327,Beartown,2003,2,2003-04-01,16.7,21.0,2.5,27.846666666666668,57.2,-1.1,205.451,-1.2678333333333331,-14.029,10.028,3
327,Beartown,2003,2,2003-05-01,10.4,23.5,2.5,37.6741935483871,68.7,5.4,205.451,-1.2678333333333331,-14.029,10.028,3
327,Beartown,2003,3,2003-06-01,0.0,24.5,1.0,44.669999999999995,68.5,25.3,157.856,10.0345,-0.452,21.187,3
327,Beartown,2003,3,2003-07-01,0.0,28.4,3.9,53.016129032258064,77.9,35.4,157.856,10.0345,-0.452,21.187,3
327,Beartown,2003,3,2003-08-01,0.0,32.1,3.7,48.05483870967742,73.4,33.4,157.856,10.0345,-0.452,21.187,3
327,Beartown,2003,4,2003-09-01,1.9,35.6,3.5,42.49333333333333,70.3,19.2,305.565,1.8841666666666663,-12.391,14.709,3
327,Beartown,2003,4,2003-10-01,0.0,0.9,1.0,37.86451612903225,67.1,10.6,305.565,1.8841666666666663,-12.391,14.709,3
327,Beartown,2003,4,2003-11-01,6.9,8.6,7.6000000000000005,21.009999999999998,62.2,-16.4,305.565,1.8841666666666663,-12.391,14.709,3
327,Beartown,2004,1,2004-01-01,15.3,16.5,3.9,15.519354838709678,51.1,-17.0,328.492,-7.4575,-17.403,1.383,3
327,Beartown,2004,1,2004-02-01,21.0,21.2,4.8,13.87241379310345,53.8,-15.0,328.492,-7.4575,-17.403,1.383,3
327,Beartown,2004,1,2004-12-01,14.9,16.4,4.2,20.006451612903227,48.9,-16.1,328.492,-7.4575,-17.403,1.383,3
327,Beartown,2004,2,2004-03-01,21.7,23.0,1.7,28.116129032258065,63.9,-4.5,213.476,0.5995,-10.874,10.922,3
327,Beartown,2004,2,2004-04-01,24.4,28.2,5.3,29.063333333333333,60.3,6.4,213.476,0.5995,-10.874,10.922,3
327,Beartown,2004,2,2004-05-01,22.7,29.4,1.0,38.38387096774194,64.6,11.1,213.476,0.5995,-10.874,10.922,3
327,Beartown,2004,3,2004-06-01,0.0,30.5,1.1,45.223333333333336,69.6,24.6,92.545,8.531,-0.157,17.525,3
327,Beartown,2004,3,2004-07-01,0.0,32.4,1.9,48.60322580645161,72.9,31.3,92.545,8.531,-0.157,17.525,3
327,Beartown,2004,3,2004-08-01,0.0,32.6,0.2,47.01724137931034,70.9,28.2,92.545,8.531,-0.157,17.525,3
327,Beartown,2004,4,2004-09-01,1.0,41.6,9.0,41.14333333333333,64.6,12.9,524.626,0.1658333333333335,-10.66,10.853,3
327,Beartown,2004,4,2004-10-01,6.4,6.7,6.7,32.31935483870968,53.2,3.7,524.626,0.1658333333333335,-10.66,10.853,3
327,Beartown,2004,4,2004-11-01,11.8,12.2,5.5,23.293333333333333,50.4,-9.9,524.626,0.1658333333333335,-10.66,10.853,3
